BHK,Address,Latitude,Longitude,Size(Acres),Deposit(Rs),Rent(Rs),Furnishing,Property Age,Available For, Immediate Possesion,Link
2, Old Airport,12.948,77.688,1300,220000,30000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-old-airport-bangalore-for-rs-30000/8a9f9158740f715f01740f8d56870c44/detail
3, Rr Nagar,12.924,77.505,1415,160000,16500,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-rr-nagar-bangalore-for-rs-16500/8a9f82a26fb4a107016fbe6704f02672/detail
3, Arekere,12.889,77.598,1600,80000,25000,Semi Furnished,>10 years ,All,15-Jan-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-arekere-bangalore-for-rs-25000/8a9f93757329271b01732977029222a6/detail
2, Cox Town,12.998,77.629,1040,150000,19500,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-cox-town-bangalore-for-rs-19500/ff8081816a06e9ff016a08224a704b9e/detail
2, Kasavanahalli,12.896,77.678,1890,150000,40000,Full Furnished,1-3 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kasavanahalli-bangalore-for-rs-40000/8a9f91867665dcd101766673348b2fc0/detail
3, Subramanyapura,12.885,77.545,1710,200000,24000,Semi Furnished,1-3 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-subramanyapura-bangalore-for-rs-24000/8a9f914175bfe1360175c03486d61ee8/detail
1, Sanjaynagar,13.036,77.58,600,120000,12000,Semi Furnished,Newly Constructed,All,Ready to Move,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-sanjaynagar-bangalore-for-rs-12000/ff808181629564ba016296466f3e0125/detail
2, Thanisandra,13.056,77.642,1100,200000,21000,Full Furnished,3-5 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-thanisandra-bangalore-for-rs-21000/ff8081815b106986015b150599620e6d/detail
4, Whitefield,12.988,77.705,3635,500000,68000,Semi Furnished,1-3 years ,Bachelors,Ready to Move,https://www.nobroker.in/property/4-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-68000/8a9f92bf76c5a7880176c7087d3e4fcd/detail
2, Koramangala,12.935,77.614,1300,150000,26000,Semi Furnished,>10 years ,All,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-koramangala-bangalore-for-rs-26000/ff8081815ee16cf2015ee184a96e04a3/detail
